HCT1, HCT2, HCT3, TauT1, TauT2, TauT3 
3748501.822755, 11920761.328419, 14724418.566018, 141030994987.519990, 141030994987.519990, 141030994987.519990 
3753021.541281, 12026727.571116, 14893211.319074, 143376574569.120000, 143376574569.120000, 143376574569.120000 
3757292.178345, 12132813.854944, 15062918.610157, 145751291371.519990, 145751291371.519990, 145751291371.519990 
3761314.955829, 12239013.584988, 15233536.179115, 148155385700.000000, 148155385700.000000, 148155385700.000000 
3765091.128351, 12345320.179036, 15405059.713030, 150589098846.720000, 150589098846.720000, 150589098846.720000 
3768621.982458, 12451727.068301, 15577484.846851, 153052673090.720000, 153052673090.720000, 153052673090.720000 
3771908.835824, 12558227.698136, 15750807.164018, 155546351697.919980, 155546351697.919980, 155546351697.919980 
3774953.036450, 12664815.528732, 15925022.197089, 158070378921.119960, 158070378921.119960, 158070378921.119960 
3777755.961876, 12771484.035816, 16100125.428363, 160625000000.000000, 160625000000.000000, 160625000000.000000 
3780319.018396, 12878226.711327, 16276112.290511, 163210461161.120000, 163210461161.120000, 163210461161.120000 
3782643.640280, 12985037.064091, 16452978.167194, 165827009617.919980, 165827009617.919980, 165827009617.919980 
3784731.288998, 13091908.620480, 16630718.393690, 168474893570.719970, 168474893570.719970, 168474893570.719970 
3786583.452462, 13198834.925062, 16809328.257520, 171154362206.720000, 171154362206.720000, 171154362206.720000 
3788201.644260, 13305809.541244, 16988802.999062, 173865665699.999970, 173865665699.999970, 173865665699.999970 
3789587.402909, 13412826.051898, 17169137.812183, 176609055211.520020, 176609055211.520020, 176609055211.520020 
3790742.291107, 13519878.059983, 17350327.844850, 179384782889.120000, 179384782889.120000, 179384782889.120000 
3791667.894995, 13626959.189155, 17532368.199757, 182193101867.519990, 182193101867.519990, 182193101867.519990 
3792365.823429, 13734063.084368, 17715253.934936, 185034266268.320010, 185034266268.320010, 185034266268.320010 
3792837.707251, 13841183.412459, 17898980.064383, 187908531200.000000, 187908531200.000000, 187908531200.000000 
3793085.198578, 13948313.862734, 18083541.558665, 190816152757.919980, 190816152757.919980, 190816152757.919980 
3793109.970089, 14055448.147530, 18268933.345543, 193757388024.319980, 193757388024.319980, 193757388024.319980 
3792913.714324, 14162580.002783, 18455150.310578, 196732495068.319980, 196732495068.319980, 196732495068.319980 
3792498.142992, 14269703.188572, 18642187.297751, 199741732945.919980, 199741732945.919980, 199741732945.919980 
3791864.986279, 14376811.489664, 18830039.110067, 202785361699.999970, 202785361699.999970, 202785361699.999970 
3791015.992178, 14483898.716038, 19018700.510167, 205863642360.319980, 205863642360.319980, 205863642360.319980 
3789952.925807, 14590958.703414, 19208166.220939, 208976836943.520020, 208976836943.520020, 208976836943.520020 
3788677.568757, 14697985.313757, 19398430.926118, 212125208453.120000, 212125208453.120000, 212125208453.120000 
3787191.718424, 14804972.435784, 19589489.270896, 215309020879.519990, 215309020879.519990, 215309020879.519990 
3785497.187374, 14911913.985453, 19781335.862521, 218528539200.000000, 218528539200.000000, 218528539200.000000 
3783595.802692, 15018803.906447, 19973965.270902, 221784029378.719970, 221784029378.719970, 221784029378.719970 
3781489.405358, 15125636.170649, 20167372.029207, 225075758366.720000, 225075758366.720000, 225075758366.720000 
3779179.849620, 15232404.778602, 20361550.634459, 228403994101.920010, 228403994101.920010, 228403994101.920010 
3776669.002378, 15339103.759967, 20556495.548134, 231769005509.120000, 231769005509.120000, 231769005509.120000 
3773958.742575, 15445727.173969, 20752201.196755, 235171062499.999970, 235171062499.999970, 235171062499.999970 
3771050.960602, 15552269.109833, 20948661.972482, 238610435973.120000, 238610435973.120000, 238610435973.120000 
3767947.557701, 15658723.687210, 21145872.233706, 242087397813.919980, 242087397813.919980, 242087397813.919980 
3764650.445385, 15765085.056596, 21343826.305632, 245602220894.719970, 245602220894.719970, 245602220894.719970 
3761161.544860, 15871347.399743, 21542518.480870, 249155179074.719970, 249155179074.719970, 249155179074.719970 
3757482.786462, 15977504.930059, 21741943.020015, 252746547200.000000, 252746547200.000000, 252746547200.000000 
3753616.109091, 16083551.893000, 21942094.152232, 256376601103.519990, 256376601103.519990, 256376601103.519990 
3749563.459666, 16189482.566451, 22142966.075831, 260045617605.119960, 260045617605.119960, 260045617605.119960 
3745326.792581, 16295291.261105, 22344552.958852, 263753874511.519990, 263753874511.519990, 263753874511.519990 
